ID,FirstName,LastName,Email,Phone,Congregation,TradeTeam,Skills,Availability,Status,EmergencyContact,Notes
40,Brandon,Gonzalez,brandon.g@example.com,555-0179,Smithville,Drywall & Paint,"Painting, Spray",Full-time,Active,Heather Gonzalez 555-0180,Spray painter
41,Benjamin,Nelson,benjamin.n@example.com,555-0181,Riverside,Flooring & Tile,"Tile, Grout",Weekends,Active,Diane Nelson 555-0182,Tile setter
42,Samuel,Carter,samuel.c@example.com,555-0183,Oakdale,Finish Carpentry,"Cabinets, Counters",Full-time,Active,Julie Carter 555-0184,Cabinet installer
43,Raymond,Mitchell,raymond.m@example.com,555-0185,Smithville,Site Work,"Concrete, Flatwork",Part-time,Active,Joyce Mitchell 555-0186,Concrete finisher
44,Gregory,Perez,gregory.p@example.com,555-0187,Riverside,Structural,"Framing, Walls",Full-time,Active,Virginia Perez 555-0188,Wall framer
45,Alexander,Roberts,alex.r@example.com,555-0189,Oakdale,Electrical,"Electrical, Troubleshooting",Weekends,Active,Victoria Roberts 555-0190,Troubleshooter
46,Patrick,Turner,patrick.t@example.com,555-0191,Smithville,Plumbing,"Plumbing, Remodels",Full-time,Active,Lauren Turner 555-0192,Remodel plumber
47,Frank,Phillips,frank.p@example.com,555-0193,Riverside,Roofing,"Roofing, Underlayment",Part-time,Active,Megan Phillips 555-0194,Roofing installer
48,Dennis,Campbell,dennis.c@example.com,555-0195,Oakdale,Drywall & Paint,"Drywall, Repair",Full-time,Active,Olivia Campbell 555-0196,Drywall repair
49,Jerry,Parker,jerry.p@example.com,555-0197,Smithville,Flooring & Tile,"Vinyl, LVP",Weekends,Active,Rachel Parker 555-0198,LVP installer
50,Tyler,Evans,tyler.e@example.com,555-0199,Riverside,Finish Carpentry,"Baseboards, Crown",Full-time,Active,Emma Evans 555-0200,Trim specialist
